inTemp,inHum,outTemp,outHum
15.30,68.40,26.30,73.60
15.30,68.30,26.30,73.50
15.30,68.50,26.40,73.60
15.30,68.90,26.30,73.40
15.30,69.00,26.30,73.30
15.30,68.50,26.30,73.30
15.30,68.10,26.30,73.30
15.30,67.90,26.30,73.30
15.30,67.80,26.30,73.20
15.30,67.70,26.30,73.20
15.30,67.60,26.30,73.10
15.30,67.80,26.30,73.10
15.30,68.10,26.30,73.10
15.30,68.20,26.30,73.10
15.30,68.10,26.30,73.10
15.30,68.20,26.30,73.10
15.20,68.10,26.30,73.20
15.30,68.10,26.30,73.30
15.20,68.10,26.30,73.30
15.30,68.10,26.30,73.30
15.20,67.80,26.30,73.30
15.30,67.80,26.30,73.30
15.20,67.90,26.30,73.30
15.20,67.70,26.30,73.30
15.20,67.70,26.30,73.30
15.20,67.90,26.30,73.30
15.20,67.80,26.30,73.30
15.20,67.70,26.30,73.30
15.20,68.00,26.30,73.30
15.20,68.30,26.30,73.30
15.20,68.10,26.30,73.20
15.30,67.80,26.30,73.20
15.20,67.80,26.30,73.10
15.20,67.70,26.30,73.10
15.20,67.70,26.30,73.10
15.20,67.50,26.30,73.10
15.20,67.50,26.20,73.00
15.20,67.70,26.30,73.10
15.20,67.80,26.20,73.00
15.10,67.50,26.20,73.10
15.20,67.40,26.30,73.10
15.20,67.40,26.20,73.10
15.20,67.40,26.30,73.10
15.20,67.60,26.20,73.10
15.20,67.60,26.30,73.10
15.10,67.40,26.20,73.10
15.20,67.70,26.20,73.10
15.10,67.60,26.20,73.10
15.20,67.70,26.20,73.10
15.10,67.70,26.20,73.10
15.20,67.70,26.20,73.20
15.10,67.40,26.20,73.20
15.20,67.30,26.30,73.30
15.20,67.40,26.20,73.20
15.10,67.50,26.20,73.30
15.20,67.90,26.20,73.30
15.20,68.20,26.20,73.30
15.20,68.20,26.20,73.30
15.20,68.10,26.20,73.30
15.10,67.90,26.20,73.40
15.10,67.90,26.10,73.30
15.10,68.10,26.10,73.30
15.00,68.30,26.20,73.40
15.20,68.50,26.10,73.30
15.10,68.30,26.20,73.40
15.10,68.20,26.20,73.50
15.10,68.10,26.10,73.60
15.10,68.10,26.10,73.60
15.20,68.20,26.10,73.80
15.10,68.20,26.10,73.80
15.10,68.40,26.10,74.00
15.10,68.40,26.10,74.10
15.10,68.40,26.10,74.10
15.10,68.20,26.10,74.20
15.10,68.10,26.10,74.30
15.10,67.90,26.10,74.40
15.10,67.90,26.00,74.50
15.10,68.10,26.00,74.60
15.10,68.20,26.10,74.80
15.10,68.20,26.00,74.90
15.10,67.80,26.00,74.70
15.00,67.60,26.00,75.00
15.10,67.90,26.10,75.30
15.00,68.20,26.00,75.00
15.10,68.40,26.00,75.10
15.00,68.10,26.00,74.80
15.00,68.10,26.00,74.60
15.10,68.40,26.00,74.40
15.00,68.30,26.00,74.40
15.00,68.30,26.00,74.30
15.00,68.40,26.00,74.30
15.10,68.60,26.00,74.30
15.00,68.40,26.00,74.40
15.00,68.40,26.00,74.30
15.00,68.50,26.00,74.60
15.10,68.90,26.00,75.10
15.10,69.20,25.90,74.80
15.00,69.30,25.90,75.10
15.00,68.90,25.90,75.10
15.00,69.10,25.90,74.80
15.10,69.30,25.90,74.80
15.00,69.40,25.90,74.80
15.00,69.20,25.90,74.70
15.00,69.20,25.90,74.80
15.00,69.30,25.90,74.80
15.00,69.30,25.90,74.80
15.00,69.20,25.90,74.80
15.00,69.30,25.90,74.70
15.00,69.60,25.80,74.70
15.00,69.70,25.90,74.80
14.90,69.30,25.80,74.70
15.00,69.40,25.80,74.70
15.10,69.60,25.90,74.80
15.00,69.30,25.90,74.90
15.00,69.20,25.90,75.00
15.00,69.10,25.80,75.00
15.00,69.00,25.80,75.00
14.90,68.90,25.80,75.10
15.00,69.20,25.80,75.20
15.00,69.50,25.80,75.10
14.90,69.70,25.80,75.20
15.00,69.90,25.80,75.50
14.90,69.60,25.80,75.40
15.00,69.60,25.80,75.40
14.90,69.70,25.80,75.40
15.00,70.00,25.70,75.40
15.00,69.70,25.80,75.80
15.00,69.50,25.80,76.40
14.90,69.60,25.70,76.70
15.00,70.00,25.70,76.80
15.00,69.80,25.70,76.70
15.00,69.40,25.70,76.50
14.90,69.40,25.70,76.40
15.00,69.70,25.70,76.30
14.90,69.80,25.70,76.40
14.90,69.60,25.70,76.60
14.90,69.40,25.70,76.80
14.90,69.60,25.70,76.70
15.00,69.70,25.70,76.60
14.90,69.90,25.70,76.40
15.00,70.10,25.70,76.40
15.00,69.80,25.70,76.40
14.90,69.70,25.70,76.30
14.90,69.80,25.70,76.20
14.90,69.90,25.70,76.10
14.90,69.70,25.70,76.10
14.90,69.70,25.70,76.20
15.00,69.80,25.60,76.10
14.90,69.70,25.70,76.20
14.90,69.60,25.70,76.10
15.00,69.60,25.60,76.00
14.90,69.70,25.60,76.00
14.90,70.00,25.70,76.10
14.90,70.00,25.60,76.10
14.90,69.80,25.70,76.20
14.90,70.10,25.60,76.10
14.90,70.20,25.60,76.10
14.90,70.00,25.60,76.10
14.90,70.00,25.60,76.10
14.90,70.00,25.60,76.10
14.90,69.80,25.60,76.10
14.90,69.70,25.60,76.20
14.90,69.80,25.60,76.30
14.90,69.80,25.60,76.30
