Temperature_A,Humidity_A,Temperature_B,Humidity_B,Temperature_C,Humidity_C,Weight_A1,Weight_A2,Weight_A3,Weight_B1,Weight_B2,Weight_B3,Weight_C1,Weight_C2,Weight_C3,Priority_A,Priority_B,Priority_C
19.3,59.8,26.7,72.9,35.0,72.4,57.0,7.9,0.0,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.2,60.0,26.7,72.7,35.0,72.4,57.0,7.9,0.0,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.1,60.1,26.8,72.8,35.0,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.1,60.2,26.8,72.7,35.0,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.0,60.3,26.7,72.5,34.8,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.1,60.5,26.7,72.5,34.9,72.5,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.1,60.6,26.7,72.4,34.9,72.5,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.1,60.7,26.8,72.5,35.0,72.6,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Baixa,Baixa,Média
19.0,60.5,26.8,72.4,34.9,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
19.0,60.5,26.8,72.4,34.9,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
19.0,60.5,26.7,72.2,34.8,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
19.0,60.6,26.7,72.3,34.8,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,60.6,26.7,72.3,34.8,72.4,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,60.9,26.8,72.4,34.8,72.6,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,60.7,26.7,72.5,34.8,72.6,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,60.7,26.8,72.6,34.8,72.6,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,61.0,26.8,72.4,34.8,72.7,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,61.1,26.8,72.4,34.8,72.8,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.8,61.2,26.8,72.4,34.8,72.8,57.0,7.9,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.8,61.5,26.7,72.3,34.8,72.9,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.9,61.5,26.7,72.3,34.8,72.9,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.8,61.3,26.8,72.4,34.8,72.8,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.8,61.6,26.8,72.6,34.8,73.1,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.7,61.8,26.8,72.6,34.8,73.2,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.8,62.0,26.8,72.4,34.8,73.2,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
18.8,62.2,26.8,72.3,34.8,73.2,57.0,22.5,79.8,7.8,12.4,82.0,85.4,29.0,16.0,Média,Baixa,Média
